InitialTime,FinalTime,Time,Size,Treatment,Trial,Density_numL,Volume_mL
9/11/2021 10:44,9/12/2021 10:45,EarlySep,Nano,0,R1,0,10
9/11/2021 10:58,9/12/2021 10:58,EarlySep,Nano,0,R2,0,10
9/11/2021 11:14,9/12/2021 11:08,EarlySep,Nano,0,R3,0,10
9/11/2021 11:26,9/12/2021 11:17,EarlySep,Nano,0,R4,0,10
9/11/2021 11:59,9/12/2021 11:28,EarlySep,Nano,1,R1,40,10
9/11/2021 12:16,9/12/2021 11:45,EarlySep,Nano,1,R2,40,10
9/11/2021 12:32,9/12/2021 11:52,EarlySep,Nano,1,R3,40,10
9/11/2021 12:48,9/12/2021 12:06,EarlySep,Nano,1,R4,40,10
9/11/2021 13:16,9/12/2021 12:18,EarlySep,Nano,2,R1,80,10
9/11/2021 13:31,9/12/2021 12:33,EarlySep,Nano,2,R2,80,10
9/11/2021 13:49,9/12/2021 12:44,EarlySep,Nano,2,R3,80,10
9/11/2021 14:05,9/12/2021 12:58,EarlySep,Nano,2,R4,80,10
9/11/2021 14:35,9/12/2021 13:11,EarlySep,Nano,4,R1,160,10
9/11/2021 14:48,9/12/2021 13:24,EarlySep,Nano,4,R2,160,10
9/11/2021 15:07,9/12/2021 13:36,EarlySep,Nano,4,R3,160,10
9/11/2021 15:22,9/12/2021 13:50,EarlySep,Nano,4,R4,160,10
9/11/2021 10:44,9/12/2021 10:45,EarlySep,Pico,0,R1,0,1
9/11/2021 10:58,9/12/2021 10:58,EarlySep,Pico,0,R2,0,1
9/11/2021 11:14,9/12/2021 11:08,EarlySep,Pico,0,R3,0,1
9/11/2021 11:26,9/12/2021 11:17,EarlySep,Pico,0,R4,0,1
9/11/2021 11:59,9/12/2021 11:28,EarlySep,Pico,1,R1,40,1
9/11/2021 12:16,9/12/2021 11:45,EarlySep,Pico,1,R2,40,1
9/11/2021 12:32,9/12/2021 11:52,EarlySep,Pico,1,R3,40,1
9/11/2021 12:48,9/12/2021 12:06,EarlySep,Pico,1,R4,40,1
9/11/2021 13:16,9/12/2021 12:18,EarlySep,Pico,2,R1,80,1
9/11/2021 13:31,9/12/2021 12:33,EarlySep,Pico,2,R2,80,1
9/11/2021 13:49,9/12/2021 12:44,EarlySep,Pico,2,R3,80,1
9/11/2021 14:05,9/12/2021 12:58,EarlySep,Pico,2,R4,80,1
9/11/2021 14:35,9/12/2021 13:11,EarlySep,Pico,4,R1,160,1
9/11/2021 14:48,9/12/2021 13:24,EarlySep,Pico,4,R2,160,1
9/11/2021 15:07,9/12/2021 13:36,EarlySep,Pico,4,R3,160,1
9/11/2021 15:22,9/12/2021 13:50,EarlySep,Pico,4,R4,160,1
8/10/2021 8:58,8/11/2021 9:37,EarlyAug,Nano,0,R1,0,10
8/10/2021 9:12,8/11/2021 9:50,EarlyAug,Nano,0,R2,0,10
8/10/2021 9:24,8/11/2021 10:01,EarlyAug,Nano,0,R3,0,10
8/10/2021 9:36,8/11/2021 10:12,EarlyAug,Nano,0,R4,0,10
8/10/2021 10:10,8/11/2021 10:24,EarlyAug,Nano,1,R1,30,10
8/10/2021 10:22,8/11/2021 10:35,EarlyAug,Nano,1,R2,30,10
8/10/2021 10:34,8/11/2021 10:49,EarlyAug,Nano,1,R3,30,10
8/10/2021 10:46,8/11/2021 11:01,EarlyAug,Nano,1,R4,30,10
8/10/2021 11:22,8/11/2021 11:13,EarlyAug,Nano,2,R1,50,10
8/10/2021 11:34,8/11/2021 11:23,EarlyAug,Nano,2,R2,50,10
8/10/2021 11:47,8/11/2021 11:35,EarlyAug,Nano,2,R3,50,10
8/10/2021 11:59,8/11/2021 11:48,EarlyAug,Nano,2,R4,50,10
8/10/2021 12:37,8/11/2021 12:07,EarlyAug,Nano,4,R1,70,10
8/10/2021 12:50,8/11/2021 12:22,EarlyAug,Nano,4,R2,70,10
8/10/2021 13:05,8/11/2021 12:34,EarlyAug,Nano,4,R3,70,10
8/10/2021 13:17,8/11/2021 12:46,EarlyAug,Nano,4,R4,70,10
8/10/2021 8:58,8/11/2021 9:37,EarlyAug,Pico,0,R1,0,1
8/10/2021 9:12,8/11/2021 9:50,EarlyAug,Pico,0,R2,0,1
8/10/2021 9:24,8/11/2021 10:01,EarlyAug,Pico,0,R3,0,1
8/10/2021 9:36,8/11/2021 10:12,EarlyAug,Pico,0,R4,0,1
8/10/2021 10:10,8/11/2021 10:24,EarlyAug,Pico,1,R1,30,1
8/10/2021 10:22,8/11/2021 10:35,EarlyAug,Pico,1,R2,30,1
8/10/2021 10:34,8/11/2021 10:49,EarlyAug,Pico,1,R3,30,1
8/10/2021 10:46,8/11/2021 11:01,EarlyAug,Pico,1,R4,30,1
8/10/2021 11:22,8/11/2021 11:13,EarlyAug,Pico,2,R1,50,1
8/10/2021 11:34,8/11/2021 11:23,EarlyAug,Pico,2,R2,50,1
8/10/2021 11:47,8/11/2021 11:35,EarlyAug,Pico,2,R3,50,1
8/10/2021 11:59,8/11/2021 11:48,EarlyAug,Pico,2,R4,50,1
8/10/2021 12:37,8/11/2021 12:07,EarlyAug,Pico,4,R1,70,1
8/10/2021 12:50,8/11/2021 12:22,EarlyAug,Pico,4,R2,70,1
8/10/2021 13:05,8/11/2021 12:34,EarlyAug,Pico,4,R3,70,1
8/10/2021 13:17,8/11/2021 12:46,EarlyAug,Pico,4,R4,70,1
