"","Time","Size","Filter","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90"
"1","EarlyAug","Nano","Chl",0.0717261051506718,-0.173956507633629,0.423000648692671,7.86053181437811,4.8705027962098,11.3231956055871,0.00786053181437811,0.0048705027962098,0.0113231956055871
"2","EarlyAug","Nano","Dapi",0.007822922233399,-0.261968090591942,0.185308774330471,5.76764576664011,2.88434669461338,7.63986949096011,0.00576764576664011,0.00288434669461337,0.00763986949096011
"3","EarlyAug","Nano","Hetero",-0.138911833484276,-0.4150790862389,0.182698580542128,1.74908768076007,-0.708938035569685,6.43585336091592,0.00174908768076007,-0.000708938035569685,0.00643585336091592
"4","EarlyAug","Pico","Chl",0.108806731633959,-0.0654564130480223,0.260705153484063,0.712834119377163,-1.04692250733907,2.2200516870317,0.000712834119377163,-0.00104692250733907,0.0022200516870317
"5","EarlyAug","Pico","Dapi",0.0335855230657789,-0.0135698229593709,0.0810098412882645,-0.33963040304133,-0.908678853417395,0.309475005962195,-0.00033963040304133,-0.000908678853417395,0.000309475005962195
"6","EarlyAug","Pico","Hetero",-0.021406378018189,-0.102103659452829,0.0468320408266316,-0.799229646865272,-2.20145734489101,0.28451406044537,-0.000799229646865272,-0.00220145734489101,0.00028451406044537
"7","EarlySep","Nano","Chl",-0.56283789016155,-0.647681037781914,-0.491072835877789,1.23171729639456,0.580215704153165,1.94367317695586,0.00123171729639456,0.000580215704153165,0.00194367317695586
"8","EarlySep","Nano","Dapi",-0.356723245215242,-0.448845181824524,-0.269298164930564,2.54071444828611,1.80896874993428,3.22853202527084,0.00254071444828611,0.00180896874993428,0.00322853202527084
"9","EarlySep","Nano","Hetero",-0.00833264334931672,-0.250198892563903,0.226757877229047,3.02927596332212,1.62768781078642,4.69086952751322,0.00302927596332212,0.00162768781078642,0.00469086952751322
"10","EarlySep","Pico","Chl",0.143487243440852,0.0346609813099033,0.264639251660246,-1.11161545221399,-1.68307335930919,-0.650355421725626,-0.00111161545221399,-0.00168307335930919,-0.000650355421725626
"11","EarlySep","Pico","Dapi",0.106809166764736,0.00210422994447525,0.260981270156903,-1.48573664452993,-1.95061143218898,-0.796017126360166,-0.00148573664452993,-0.00195061143218898,-0.000796017126360165
"12","EarlySep","Pico","Hetero",0.0721097812978288,-0.074622889223657,0.217721532132745,-1.74686767007526,-2.6557136813434,-1.02725329295177,-0.00174686767007526,-0.0026557136813434,-0.00102725329295177
