"","VolumeFiltered","Time","FilterSize","FilterType","IC_BV_um3_mL","IC_BV_um3_L"
"1","1","EarlyAug","0.2filter","Chl",768920.762102445,768920762.102445
"2","1","EarlyAug","0.2filter","Dapi",1957887.69116019,1957887691.16019
"3","1","EarlyAug","0.2filter","Hetero",1188966.92905774,1188966929.05774
"4","10","EarlyAug","0.8filter","Chl",818785.127131213,818785127.131213
"5","10","EarlyAug","0.8filter","Dapi",1124104.30185329,1124104301.85329
"6","10","EarlyAug","0.8filter","Hetero",305319.174722078,305319174.722078
"7","1","EarlySep","0.2filter","Chl",933225.090304955,933225090.304955
"8","1","EarlySep","0.2filter","Dapi",2404776.02515468,2404776025.15468
"9","1","EarlySep","0.2filter","Hetero",1471550.93484973,1471550934.84973
"10","10","EarlySep","0.8filter","Chl",840812.642923327,840812642.923327
"11","10","EarlySep","0.8filter","Dapi",999559.341031847,999559341.031847
"12","10","EarlySep","0.8filter","Hetero",158746.69810852,158746698.10852
"13","1","LateApril","0.2filter","Chl",375455.120425726,375455120.425726
"14","1","LateApril","0.2filter","Dapi",1031102.01052773,1031102010.52773
"15","1","LateApril","0.2filter","Hetero",655646.890102005,655646890.102005
"16","1","LateApril","0.8filter","Chl",3584018.31977554,3584018319.77554
"17","1","LateApril","0.8filter","Dapi",6491624.97171223,6491624971.71223
"18","1","LateApril","0.8filter","Hetero",2907606.65193669,2907606651.93669
"19","1","LateAug","0.2filter","Chl",1866508.90834178,1866508908.34178
"20","1","LateAug","0.2filter","Dapi",2981237.40906921,2981237409.06921
"21","1","LateAug","0.2filter","Hetero",1114728.50072744,1114728500.72744
"22","10","LateAug","0.8filter","Chl",1299647.63862227,1299647638.62227
"23","10","LateAug","0.8filter","Dapi",1618194.85204288,1618194852.04288
"24","10","LateAug","0.8filter","Hetero",318547.213420615,318547213.420615
"25","1","LateJuly","0.2filter","Chl",423030.414531109,423030414.531109
"26","1","LateJuly","0.2filter","Dapi",958574.109624258,958574109.624258
"27","1","LateJuly","0.2filter","Hetero",535543.695093148,535543695.093148
"28","10","LateJuly","0.8filter","Chl",1046121.34866292,1046121348.66292
"29","10","LateJuly","0.8filter","Dapi",1629637.47943358,1629637479.43358
"30","10","LateJuly","0.8filter","Hetero",583516.130770665,583516130.770665
"31","1","LateJune","0.2filter","Chl",533359.223683967,533359223.683967
"32","1","LateJune","0.2filter","Dapi",1880673.34669919,1880673346.69919
"33","1","LateJune","0.2filter","Hetero",1347314.12301522,1347314123.01522
"34","10","LateJune","0.8filter","Chl",481000.370429613,481000370.429613
"35","10","LateJune","0.8filter","Dapi",923838.94474582,923838944.74582
"36","10","LateJune","0.8filter","Hetero",442838.574316206,442838574.316206
"37","1","LateMay","0.2filter","Chl",907633.837135241,907633837.135241
"38","1","LateMay","0.2filter","Dapi",1678505.20566268,1678505205.66268
"39","1","LateMay","0.2filter","Hetero",770871.368527443,770871368.527443
"40","1","LateMay","0.8filter","Chl",6286038.94774276,6286038947.74276
"41","1","LateMay","0.8filter","Dapi",8325284.37872902,8325284378.72902
"42","1","LateMay","0.8filter","Hetero",2039245.43098626,2039245430.98626
"43","1","LateSep","0.2filter","Chl",870484.402792468,870484402.792468
"44","1","LateSep","0.2filter","Dapi",2085203.87440574,2085203874.40574
"45","1","LateSep","0.2filter","Hetero",1214719.47161327,1214719471.61327
"46","10","LateSep","0.8filter","Chl",2124264.35625853,2124264356.25853
"47","10","LateSep","0.8filter","Dapi",2641868.15955279,2641868159.55279
"48","10","LateSep","0.8filter","Hetero",517603.80329426,517603803.29426
"49","1","MidJuly","0.2filter","Chl",659354.707093245,659354707.093245
"50","1","MidJuly","0.2filter","Dapi",2170878.74736692,2170878747.36692
"51","1","MidJuly","0.2filter","Hetero",1511524.04027368,1511524040.27368
"52","10","MidJuly","0.8filter","Chl",697605.604073502,697605604.073502
"53","10","MidJuly","0.8filter","Dapi",1072666.05099166,1072666050.99166
"54","10","MidJuly","0.8filter","Hetero",375060.446918153,375060446.918153
