"","Time","Size","Filter","Int_med","Int_10","Int_90","CR_mL_ugC_d_med","CR_mL_ugC_d_10","CR_mL_ugC_d_90","CR_L_ugC_d_med","CR_L_ugC_d_10","CR_L_ugC_d_90","IC_BV_um3_mL","IC_BV_um3_L","Date","Site","Zp_dens","Zp_bms","Zp_bms_ugC_L","Month2","Ind_wt_ugC","ZP_dens_exp_num_L","Zp_bms_exp_ugC_L","IC_BV_ugC_L","CR_for_perPP_med","CR_for_perPP_10","CR_for_perPP_90","GR_ugC_L_d_med","GR_ugC_L_d_10","GR_ugC_L_d_90","per_SS_grazed_med","per_SS_grazed_10","per_SS_grazed_90","m_med","m_10","m_90","per_upot_med","per_upot_10","per_upot_90"
"1","EarlyAug","Nano","Chl",0.0717261051506718,-0.173956507633629,0.423000648692671,7.86053181437811,4.8705027962098,11.3231956055871,0.00786053181437811,0.0048705027962098,0.0113231956055871,818785.127131213,818785127.131213,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,294.762645767237,0.00786053181437811,0.0048705027962098,0.0113231956055871,122.680385632961,76.0145974057995,176.722648835278,41.620058509665,25.7884092497343,59.9542212600537,0.515812180303302,0.319604923154308,0.743033976738728,719.141488611097,445.590796381496,1035.93241983218
"2","EarlyAug","Nano","Dapi",0.007822922233399,-0.261968090591942,0.185308774330471,5.76764576664011,2.88434669461338,7.63986949096011,0.00576764576664011,0.00288434669461337,0.00763986949096011,1124104.30185329,1124104301.85329,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,404.677548667184,0.00576764576664011,0.00288434669461337,0.00763986949096011,123.582918319459,61.802682825484,163.698917283309,30.5386149358871,15.2720809516201,40.4516924209054,0.378475910836717,0.189272328187486,0.50133220403187,4838.03749474667,2419.45813265803,6408.50297464922
"3","EarlyAug","Nano","Hetero",-0.138911833484276,-0.4150790862389,0.182698580542128,0,0,0,0.00174908768076007,-0.000708938035569685,0.00643585336091592,305319.174722078,305319174.722078,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,109.914902899948,0,0,0,0,0,0,0,0,0,0.114776042061713,-0.0465208821059991,0.422324040230224,0,0,0
"4","EarlyAug","Pico","Chl",0.108806731633959,-0.0654564130480223,0.260705153484063,0,0,0,0.000712834119377163,-0.00104692250733907,0.0022200516870317,768920.762102445,768920762.102445,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,276.81147435688,0,0,0,0,0,0,0,0,0,0.046776545149014,-0.0686995986876353,0.145680944764988,0,0,0
"5","EarlyAug","Pico","Dapi",0.0335855230657789,-0.0135698229593709,0.0810098412882645,0,0,0,-0.00033963040304133,-0.000908678853417395,0.000309475005962195,1957887.69116019,1957887691.16019,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,704.839568817668,0,0,0,0,0,0,0,0,0,-0.0222867234465735,-0.0596279783155885,0.020307910627974,0,0,0
"6","EarlyAug","Pico","Hetero",-0.021406378018189,-0.102103659452829,0.0468320408266316,0,0,0,-0.000799229646865272,-0.00220145734489101,0.00028451406044537,1188966.92905774,1188966929.05774,"2021-08-09","36-873",30.2581492588,110.308637222059,52.9481458665883,"August",1.7498805169384,37.5,65.6205193851901,428.028094460786,0,0,0,0,0,0,0,0,0,-0.0524458645353412,-0.14446077437609,0.0186699604188145,0,0,0
"7","EarlySep","Nano","Chl",-0.56283789016155,-0.647681037781914,-0.491072835877789,1.23171729639456,0.580215704153165,1.94367317695586,0.00123171729639456,0.000580215704153165,0.00194367317695586,840812.642923327,840812642.923327,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,302.692551452398,0.00123171729639456,0.000580215704153165,0.00194367317695586,59.4052502293425,27.983579668083,93.7426078038421,19.6256068886732,9.24488545681434,30.9695786546582,0.163829944949573,0.0771741268459388,0.25852675002027,-29.107838653604,-13.7116082969801,-45.9327196230634
"8","EarlySep","Nano","Dapi",-0.356723245215242,-0.448845181824524,-0.269298164930564,2.54071444828611,1.80896874993428,3.22853202527084,0.00254071444828611,0.00180896874993428,0.00322853202527084,999559.341031847,999559341.031847,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,359.841362771465,0.00254071444828611,0.00180896874993428,0.00322853202527084,145.672976961849,103.718016486128,185.109299337093,40.4825548235727,28.8232613636468,51.4419181584348,0.337938835001924,0.240609798680862,0.429425019455617,-94.7341782557558,-67.4499915293384,-120.380442041703
"9","EarlySep","Nano","Hetero",-0.00833264334931672,-0.250198892563903,0.226757877229047,3.02927596332212,1.62768781078642,4.69086952751322,0.00302927596332212,0.00162768781078642,0.00469086952751322,158746.69810852,158746698.10852,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,57.1488113190672,0.00302927596332212,0.00162768781078642,0.00469086952751322,27.5840540948316,14.8214389068047,42.7142328283687,48.2670653302433,25.9348157288087,74.7421194640272,0.402922095647141,0.216497734680514,0.623929613319274,-4835.46551503588,-2598.18794114436,-7487.77533326728
"10","EarlySep","Pico","Chl",0.143487243440852,0.0346609813099033,0.264639251660246,0,0,0,-0.00111161545221399,-0.00168307335930919,-0.000650355421725626,933225.090304955,933225090.304955,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,335.961032509784,0,0,0,0,0,0,0,0,0,-0.147855273993794,-0.22386453174673,-0.0865033666823127,0,0,0
"11","EarlySep","Pico","Dapi",0.106809166764736,0.00210422994447525,0.260981270156903,0,0,0,-0.00148573664452993,-0.00195061143218898,-0.000796017126360165,2404776.02515468,2404776025.15468,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,865.719369055685,0,0,0,0,0,0,0,0,0,-0.197616899101277,-0.25944960299653,-0.105877738643631,0,0,0
"12","EarlySep","Pico","Hetero",0.0721097812978288,-0.074622889223657,0.217721532132745,0,0,0,-0.00174686767007526,-0.0026557136813434,-0.00102725329295177,1471550.93484973,1471550934.84973,"2021-09-10","36-873",83.8547850718,331.9485821767,159.335319444816,"September",1.90013389585802,70,133.009372710061,529.758336545903,0,0,0,0,0,0,0,0,0,-0.232349773004196,-0.353234810853013,-0.136634316109859,0,0,0
